,Link,Code,For_rent_sale,Price,Area,Floor,Rooms,Dates
2831,https://akcern.am/en/property/10405,Code - 159540,For sale,"107,000 USD",'Total area 39 m 2','Floor 2','Count of rooms 1',26.03.2021
2832,https://akcern.am/en/property/10003,Code - 159094,For rent,500 USD,'Total area 40 m 2','Floor 6','Count of rooms 1',26.03.2021
2833,https://akcern.am/en/property/9941,Code - 159018,For sale,"82,000 USD",'Total area 51 m 2','Floor 4','Count of rooms 1',26.03.2021
2834,https://akcern.am/en/property/9645,Code - 158642,For sale,"31,000 USD",'Total area 29 m 2','Floor 3','Count of rooms 1',26.03.2021
2835,https://akcern.am/en/property/15382,Code - 20616,For rent,600 USD,'Total area 43 m 2','Floor 7','Count of rooms 2',26.03.2021
2836,https://akcern.am/en/property/8236,Code - 20615,For rent,600 USD,'Total area 52 m 2','Floor 7','Count of rooms 2',26.03.2021
2837,https://akcern.am/en/property/9204,Code - 80630,For sale,"200,000 USD",'Total area 145 m 2','Floor 2','Count of rooms 4',26.03.2021
2838,https://akcern.am/en/property/7803,Code - 80616,For sale,"170,000 USD",'Total area 159 m 2','Floor 1','Count of rooms 4',26.03.2021
2839,https://akcern.am/en/property/4171,Code - 20935,For sale,"115,000 USD",'Total area 72 m 2','Floor 2','Count of rooms 2',26.03.2021
2840,https://akcern.am/en/property/3673,Code - 10361,For rent,270 USD,'Total area 45 m 2','Floor 4','Count of rooms 1',26.03.2021
2841,https://akcern.am/en/property/2584,Code - 20679,For rent,600 USD,'Total area 65 m 2','Floor 5','Count of rooms 2',26.03.2021
2842,https://akcern.am/en/property/11104,Code - 20679,For sale,"140,000 USD",'Total area 67 m 2','Floor 5','Count of rooms 2',26.03.2021
2843,https://akcern.am/en/property/11103,Code - 20578,For sale,"75,000 USD",'Total area 56 m 2','Floor 1','Count of rooms 2',26.03.2021
2844,https://akcern.am/en/property/8591,Code - 10488,For sale,"42,000 USD",'Total area 40 m 2','Floor 5','Count of rooms 1',26.03.2021
2845,https://akcern.am/en/property/1669,Code - 10202,For sale,"102,000 USD",'Total area 40 m 2','Floor 5','Count of rooms 1',26.03.2021
2846,https://akcern.am/en/property/1911,Code - 10589,For rent,500 USD,'Total area 55 m 2','Floor 4','Count of rooms 1',26.03.2021
2847,https://akcern.am/en/property/2681,Code - 80221,For sale,"340,000 USD",'Total area 245 m 2','Floor 8','Count of rooms 4',26.03.2021
2848,https://akcern.am/en/property/1310,Code - 20977,For sale,"165,000 USD",'Total area 63 m 2','Floor 1','Count of rooms 2',26.03.2021
